price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
350.00,1.00,1.00,t,Cambridgeport,6,2.5,3,6,1,100,0.29
110.00,1.00,1.00,t,Cambridgeport,2,1,1,2,1,94,1.76
240.00,1.00,0.92,f,Mid-Cambridge,6,1,2,2,4,95,2.13
175.00,1.00,0.99,t,Cambridgeport,2,1,0,1,1,97,6.13
115.00,N/A,1.00,f,Mid-Cambridge,1,1,1,1,1,80,0.07
70.00,0.86,1.00,t,Mid-Cambridge,1,2,1,1,1,95,8.01
140.00,1.00,0.84,f,Riverside,5,1,2,2,1,90,0.13
258.00,1.00,1.00,t,Strawberry Hill,6,1,2,2,4,98,0.76
126.00,1.00,0.92,t,Mid-Cambridge,2,1,1,1,1,93,1.52
275.00,1.00,1.00,t,The Port,6,2,2,3,4,95,0.89
150.00,N/A,N/A,f,Neighborhood Nine,3,1,2,2,1,,
179.00,1.00,0.68,t,Cambridgeport,2,1,1,1,1,99,1.22
120.00,1.00,0.84,f,North Cambridge,4,1,2,2,1,76,0.11
90.00,1.00,0.98,f,East Cambridge,1,1,1,1,1,92,2.17
150.00,1.00,0.84,f,Mid-Cambridge,4,2.5,2,2,1,87,0.09
75.00,1.00,1.00,f,Strawberry Hill,1,1,1,1,1,93,0.52
495.00,1.00,1.00,t,Strawberry Hill,10,2,4,5,8,98,0.96
194.00,1.00,0.78,f,Cambridgeport,2,1,1,2,1,95,0.09
200.00,1.00,0.68,t,Cambridgeport,4,2,2,3,1,99,1.37
75.00,0.80,0.66,t,Agassiz,1,1,1,1,1,99,0.58
95.00,N/A,N/A,f,Cambridgeport,1,1,1,1,2,100,0.94
110.00,1.00,0.84,f,Mid-Cambridge,2,1,0,1,1,96,0.2
89.00,1.00,1.00,t,Strawberry Hill,2,1,1,1,1,97,0.53
65.00,1.00,0.86,t,The Port,1,1,1,1,1,99,0.56
175.00,1.00,1.00,t,Cambridgeport,2,1,1,1,1,98,0.83
89.00,1.00,1.00,t,Strawberry Hill,2,1,1,1,1,100,0.24
60.00,0.91,0.97,f,Mid-Cambridge,2,1,1,2,1,96,3.3
75.00,1.00,1.00,t,Strawberry Hill,2,1,1,2,2,95,0.48
89.00,1.00,1.00,t,Strawberry Hill,2,1,1,1,1,98,0.21
75.00,1.00,0.96,t,North Cambridge,1,1,1,1,1,99,1.28
129.00,N/A,N/A,f,Mid-Cambridge,2,1,1,1,2,97,0.98
110.00,1.00,0.84,f,Mid-Cambridge,2,1,0,1,1,90,0.09
120.00,1.00,1.00,t,Cambridgeport,2,1,1,2,1,97,2.1
150.00,1.00,0.84,f,Riverside,4,1,2,2,1,80,0.03
60.00,N/A,1.00,f,Cambridgeport,1,1,1,1,1,96,0.38
325.00,1.00,1.00,t,Cambridgeport,5,2.5,3,0,1,93,0.07
99.00,1.00,0.40,f,Neighborhood Nine,1,1,0,1,1,100,0.08
99.00,1.00,0.98,f,East Cambridge,1,1,1,1,1,94,3.16
200.00,N/A,1.00,t,East Cambridge,4,1,1,1,1,99,0.86
85.00,1.00,0.84,f,Mid-Cambridge,1,1,0,1,1,93,0.18
130.00,1.00,0.84,f,Mid-Cambridge,2,2,1,1,1,60,0.02
120.00,1.00,0.84,f,North Cambridge,2,1,1,1,1,100,0.03
250.00,1.00,0.95,t,Riverside,7,2,3,3,1,99,4.53
125.00,1.00,0.97,t,Strawberry Hill,3,1,1,1,2,99,5.71
130.00,1.00,0.84,f,Riverside,4,1,2,2,1,100,0.2
190.00,1.00,0.96,t,Wellington-Harrington,8,2,3,5,6,98,4.87
75.00,1.00,1.00,f,Mid-Cambridge,2,1,1,1,1,95,5.25
75.00,1.00,1.00,f,Riverside,2,1,1,1,1,94,4.62
145.00,0.92,0.91,f,Wellington-Harrington,7,1,2,3,2,92,5.33
179.00,1.00,0.68,t,Cambridgeport,2,1,1,1,1,98,0.61
219.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.09
165.00,1.00,0.92,t,East Cambridge,3,1,1,1,2,100,2.8
150.00,N/A,0.83,f,The Port,5,1,2,2,1,90,0.14
179.00,N/A,1.00,f,Mid-Cambridge,4,1,1,1,2,93,0.27
95.00,1.00,1.00,t,Neighborhood Nine,2,2,1,1,1,97,2.67
130.00,1.00,0.84,f,Riverside,4,1,2,2,1,91,0.2
145.00,1.00,1.00,f,Agassiz,4,1,1,2,2,94,4.5
90.00,1.00,0.78,t,The Port,2,1,1,0,1,93,0.91
100.00,1.00,1.00,t,Wellington-Harrington,2,1,0,1,1,99,1.86
60.00,N/A,N/A,f,The Port,1,1,1,1,1,93,0.07
89.00,1.00,0.99,f,Mid-Cambridge,2,1,1,1,1,93,1.67
